Time,DPOS(0),MSPEED(0),DRIVE_FE(0),DEMAND_SPEED(0),DEMAND_SPEED_NORMALISED(0)
0.414,-582422455.0,0.0,0.0,0.0,0.0
0.415,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.416,-582422456.0,0.0,0.0,0.0,0.0
0.417,-582422455.0,1000.0,0.0,1.0,1000.0
0.418,-582422454.0,1000.0,0.0,1.0,1000.0
0.419,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.42,-582422454.0,1000.0,0.0,1.0,1000.0
0.421,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.422,-582422455.0,0.0,0.0,0.0,0.0
0.423,-582422455.0,0.0,0.0,0.0,0.0
0.424,-582422455.0,0.0,0.0,0.0,0.0
0.425,-582422455.0,0.0,0.0,0.0,0.0
0.426,-582422455.0,0.0,0.0,0.0,0.0
0.427,-582422455.0,0.0,0.0,0.0,0.0
0.428,-582422455.0,0.0,0.0,0.0,0.0
0.429,-582422457.0,-2000.0,0.0,-2.0,-2000.0
0.43,-582422455.0,2000.0,0.0,2.0,2000.0
0.431,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.432,-582422455.0,1000.0,0.0,1.0,1000.0
0.433,-582422453.0,2000.0,0.0,2.0,2000.0
0.434,-582422455.0,-2000.0,0.0,-2.0,-2000.0
0.435,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.436,-582422455.0,1000.0,0.0,1.0,1000.0
0.437,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.438,-582422455.0,1000.0,0.0,1.0,1000.0
0.439,-582422454.0,1000.0,0.0,1.0,1000.0
0.44,-582422454.0,0.0,0.0,0.0,0.0
0.441,-582422454.0,0.0,0.0,0.0,0.0
0.442,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.443,-582422455.0,0.0,0.0,0.0,0.0
0.444,-582422454.0,1000.0,0.0,1.0,1000.0
0.445,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.446,-582422454.0,1000.0,0.0,1.0,1000.0
0.447,-582422454.0,0.0,0.0,0.0,0.0
0.448,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.449,-582422455.0,0.0,0.0,0.0,0.0
0.45,-582422455.0,0.0,0.0,0.0,0.0
0.451,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.452,-582422455.0,1000.0,0.0,1.0,1000.0
0.453,-582422455.0,0.0,0.0,0.0,0.0
0.454,-582422455.0,0.0,0.0,0.0,0.0
0.455,-582422455.0,0.0,0.0,0.0,0.0
0.456,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.457,-582422455.0,1000.0,0.0,1.0,1000.0
0.458,-582422455.0,0.0,0.0,0.0,0.0
0.459,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.46,-582422455.0,1000.0,0.0,1.0,1000.0
0.461,-582422455.0,0.0,0.0,0.0,0.0
0.462,-582422455.0,0.0,0.0,0.0,0.0
0.463,-582422455.0,0.0,0.0,0.0,0.0
0.464,-582422453.0,2000.0,0.0,2.0,2000.0
0.465,-582422455.0,-2000.0,0.0,-2.0,-2000.0
0.466,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.467,-582422455.0,1000.0,0.0,1.0,1000.0
