Time,MPOS(0),DPOS(0),DRIVE_FE(0),MSPEEDF(0)
0.316,184.9693,184.96929,-1.04904e-05,0.00477
0.317,184.96929,184.96929,6.67572e-06,-0.01812
0.318,184.9693,184.96929,-9.05991e-06,0.01764
0.319,184.9693,184.96929,-4.76837e-06,-0.00381
0.32,184.96929,184.96929,4.76837e-07,-0.0062
0.321,184.96929,184.96929,4.76837e-06,-0.00477
0.322,184.96928,184.96929,1.66893e-05,-0.01287
0.323,184.96928,184.96929,1.00136e-05,0.00811
0.324,184.96929,184.96929,9.53674e-07,0.00763
0.325,184.9693,184.96929,-5.72205e-06,0.00954
0.326,184.9693,184.96929,-9.53674e-06,0.00286
0.327,184.96929,184.96929,-3.33786e-06,-0.01049
0.328,184.96929,184.96929,3.8147e-06,-0.00143
0.329,184.9693,184.96929,-7.15256e-06,0.00858
0.33,184.96929,184.96929,6.67572e-06,-0.01478
0.331,184.9693,184.96929,-3.33786e-06,0.0124
0.332,184.9693,184.96929,-9.53674e-06,0.00381
0.333,184.96929,184.96929,6.67572e-06,-0.0124
0.334,184.96929,184.96929,-9.53674e-07,0.00381
0.335,184.9693,184.96929,-6.67572e-06,0.00477
0.336,184.96929,184.96929,4.76837e-07,-0.00572
0.337,184.96929,184.96929,3.8147e-06,-0.00095
0.338,184.9693,184.96929,-4.29153e-06,0.0062
0.339,184.9693,184.96929,-1.43051e-06,-0.00095
0.34,184.9693,184.96929,-6.67572e-06,0.00286
0.341,184.96929,184.96929,6.67572e-06,-0.01287
0.342,184.96929,184.96929,7.15256e-06,0.00191
0.343,184.96929,184.96929,2.86102e-06,0.00048
0.344,184.9693,184.96929,-8.58307e-06,0.01526
0.345,184.96929,184.96929,1.43051e-06,-0.01097
0.346,184.96929,184.96929,1.43051e-06,-0.00429
0.347,184.96929,184.96929,0.0,0.00191
0.348,184.96929,184.96929,9.53674e-07,0.00238
0.349,184.9693,184.96929,-5.24521e-06,0.00715
0.35,184.96929,184.96929,-4.76837e-07,-0.00715
0.351,184.9693,184.96929,-8.10623e-06,0.00858
0.352,184.9693,184.96929,-7.15256e-06,-0.00095
0.353,184.96929,184.96929,-4.76837e-07,-0.00811
0.354,184.96929,184.96929,4.76837e-06,-0.00286
0.355,184.96929,184.96929,3.33786e-06,-0.00286
0.356,184.9693,184.96929,-1.43051e-06,0.00954
0.357,184.96929,184.96929,4.76837e-07,-0.00477
